000940|上海|宝山区|
245501|安徽|黄山|
245502|安徽|黄山|
245503|安徽|黄山|
245511|安徽|黄山|
245521|安徽|黄山|
245522|安徽|黄山|
245523|安徽|黄山|
245531|安徽|黄山|
245600|安徽|黄山|
245604|安徽|黄山|
245605|安徽|黄山|
245606|安徽|黄山|
245607|安徽|黄山|
245608|安徽|黄山|
245609|安徽|黄山|
245610|安徽|祁门县|
245611|安徽|黄山|
245612|安徽|黄山|
245613|安徽|黄山|
245614|安徽|黄山|
245615|安徽|黄山|
245616|安徽|黄山|
245617|安徽|黄山|
245700|安徽|黄山区|
245701|安徽|黄山|
245702|安徽|黄山|
245703|安徽|黄山|
245704|安徽|黄山|
245705|安徽|黄山|
245706|安徽|黄山|
245710|安徽|黄山|
245711|安徽|黄山|
245712|安徽|黄山|
245713|安徽|黄山|
245715|安徽|黄山区|
245717|安徽|黄山|
245718|安徽|黄山|
245719|安徽|黄山|
245720|安徽|黄山|
245721|安徽|黄山|
246000|安徽|安庆|
246001|安徽|安庆|
246002|安徽|安庆|
246003|安徽|安庆|
246004|安徽|安庆|
246005|安徽|安庆|
246006|安徽|安庆|
246007|安徽|安庆|
246008|安徽|安庆|
246009|安徽|安庆|
246010|安徽|安庆|
246100|安徽|安庆|
246103|安徽|安庆|
246104|安徽|安庆|
246111|安徽|安庆|
246112|安徽|安庆|
246113|安徽|安庆|
246114|安徽|安庆|
246121|安徽|安庆|
246122|安徽|安庆|
246123|安徽|安庆|
246131|安徽|安庆|
246132|安徽|安庆|
246133|安徽|怀宁县|
246141|安徽|安庆|
246142|安徽|安庆|
246143|安徽|怀宁县|
246200|安徽|安庆|
246201|安徽|望江县|
246202|安徽|望江县|
246203|安徽|望江县|
246230|安徽|安庆|
246231|安徽|安庆|
246233|安徽|望江县|
246234|安徽|安庆|
246235|安徽|望江县|
246236|安徽|望江县|
246241|安徽|安庆|
246242|安徽|望江县|
246243|安徽|望江县|
246246|安徽|望江县|
246247|安徽|望江县|
246250|安徽|安庆|
246251|安徽|安庆|
246255|安徽|安庆|
246256|安徽|望江县|
246257|安徽|安庆|
246258|安徽|望江县|
246260|安徽|安庆|
246261|安徽|望江县|
246262|安徽|望江县|
246263|安徽|望江县|
246270|安徽|安庆|
246271|安徽|望江县|
246272|安徽|望江县|
246273|安徽|望江县|
246274|安徽|望江县|
246275|安徽|望江县|
246280|安徽|安庆|
246281|安徽|安庆|
246282|安徽|望江县|
246283|安徽|望江县|
246284|安徽|望江县|
246285|安徽|安庆|
246300|安徽|安庆|
246304|安徽|潜山县|
246305|安徽|安庆|
246306|安徽|安庆|
246307|安徽|安庆|
246308|安徽|安庆|
246309|安徽|安庆|
246310|安徽|安庆|
246311|安徽|安庆|
246313|安徽|安庆|
246314|安徽|安庆|
246315|安徽|安庆|
246316|安徽|安庆|
246317|安徽|安庆|
246318|安徽|安庆|
246319|安徽|安庆|
246320|安徽|安庆|
246400|安徽|安庆|
246401|安徽|安庆|
246402|安徽|安庆|
246410|安徽|安庆|
246411|安徽|太湖县|
246413|安徽|安庆|
246415|安徽|太湖县|
246416|安徽|太湖县|
246417|安徽|安庆|
246418|安徽|太湖县|
246420|安徽|安庆|
246421|安徽|安庆|
246422|安徽|太湖县|
246423|安徽|太湖县|
246424|安徽|太湖县|
246430|安徽|安庆|
246431|安徽|太湖县|
246432|安徽|太湖县|
246433|安徽|太湖县|
246440|安徽|安庆|
246441|安徽|太湖县|
246442|安徽|太湖县|
246443|安徽|太湖县|
246444|安徽|太湖县|
246445|安徽|安庆|
246450|安徽|安庆|
246451|安徽|安庆|
246452|安徽|太湖县|
246453|安徽|太湖县|
246454|安徽|安庆|
246461|安徽|安庆|
246462|安徽|太湖县|
246463|安徽|安庆|
246464|安徽|太湖县|
246470|安徽|安庆|
246471|安徽|安庆|
246472|安徽|太湖县|
246473|安徽|太湖县|
246474|安徽|安庆|
246480|安徽|安庆|
246481|安徽|太湖县|
246482|安徽|太湖县|
246483|安徽|太湖县|
246484|安徽|太湖县|
246490|安徽|安庆|
246491|安徽|太湖县|
246492|安徽|安庆|
246493|安徽|安庆|
246494|安徽|太湖县|
246495|安徽|太湖县|
246496|安徽|太湖县|
246497|安徽|太湖县|
246500|安徽|安庆|
246501|安徽|安庆|
246508|安徽|宿松县|
246509|安徽|安庆|
246511|安徽|安庆|
246512|安徽|安庆|
246513|安徽|安庆|
246514|安徽|安庆|
246515|安徽|安庆|
246516|安徽|宿松县|
246521|安徽|安庆|
246523|安徽|安庆|
246524|安徽|安庆|
246525|安徽|安庆|
246531|安徽|安庆|
246532|安徽|安庆|
246533|安徽|安庆|
246534|安徽|宿松县|
246541|安徽|安庆|
246542|安徽|安庆|
246543|安徽|安庆|
246546|安徽|宿松县|
246547|安徽|宿松县|
246548|安徽|宿松县|
246560|安徽|太湖县|
246574|安徽|宿松县|
246600|安徽|安庆|
246620|安徽|安庆|
246621|安徽|岳西县|
246630|安徽|安庆|
246631|安徽|安庆|
246632|安徽|安庆|
246640|安徽|安庆|
246650|安徽|安庆|
246651|安徽|安庆|
246661|安徽|安庆|
246670|安徽|安庆|
246671|安徽|安庆|
246680|安徽|安庆|
246690|安徽|安庆|
246691|安徽|安庆|
246700|安徽|安庆|
246701|安徽|安庆|
246702|安徽|枞阳县|
246703|安徽|安庆|
246704|安徽|安庆|
246705|安徽|枞阳县|
246706|安徽|枞阳县|
246711|安徽|安庆|
246713|安徽|安庆|
246714|安徽|枞阳县|
246716|安徽|安庆|
246717|安徽|安庆|
246718|安徽|安庆|
246720|安徽|安庆|
246722|安徽|枞阳县|
246723|安徽|安庆|
246725|安徽|安庆|
246726|安徽|安庆|
246728|安徽|安庆|
246729|安徽|安庆|
246730|安徽|安庆|
246732|安徽|安庆|
246734|安徽|安庆|
246735|安徽|安庆|
246736|安徽|安庆|
246737|安徽|枞阳县|
246738|安徽|安庆|
246739|安徽|安庆|
246740|安徽|安庆|
246742|安徽|蒙城县|
247100|安徽|池州|
247101|安徽|池州|
247102|安徽|池州|
247103|安徽|池州|
247104|安徽|池州|
247105|安徽|池州|
247106|安徽|池州|
247107|安徽|池州|
247108|安徽|池州|
247109|安徽|池州|
247110|安徽|池州|
247111|安徽|池州|
247112|安徽|池州|
247113|安徽|池州|
247114|安徽|池州|
247115|安徽|池州|
247116|安徽|池州|
247117|安徽|池州|
247118|安徽|池州|
247119|安徽|池州|
247120|安徽|池州|
247121|安徽|池州|
247122|安徽|池州|
247123|安徽|池州|
247124|安徽|池州|
247125|安徽|池州|
247126|安徽|池州|
247127|安徽|池州|
247129|安徽|池州|
247130|安徽|池州|
247131|安徽|池州|
247200|安徽|池州|
247201|安徽|东至县|
247202|安徽|东至县|
247207|安徽|池州|
247210|安徽|池州|
247211|安徽|东至县|
247220|安徽|池州|
247221|安徽|东至县|
247230|安徽|池州|
247231|安徽|东至县|
247240|安徽|池州|
247241|安徽|池州|
247250|安徽|池州|
247251|安徽|东至县|
247260|安徽|池州|
247261|安徽|东至县|
247262|安徽|池州|
247270|安徽|池州|
247271|安徽|池州|
247272|安徽|池州|
247280|安徽|池州|
247281|安徽|池州|
247282|安徽|池州|
250000|山东|济南|
250001|山东|济南|
250002|山东|济南|
250011|山东|济南|
250012|山东|济南|
250013|山东|济南|
250014|山东|济南|
250016|山东|济南|
250021|山东|济南|
250022|山东|济南|
250023|山东|济南|
250031|山东|济南|
250032|山东|济南|
250033|山东|济南|
250100|山东|济南|
250101|山东|济南|
250108|山东|济南|
250117|山东|济南|
250200|山东|济南|
250201|山东|济南|
250202|山东|济南|
250203|山东|济南|
250204|山东|济南|
250205|山东|济南|
250206|山东|济南|
250207|山东|济南|
250208|山东|济南|
250209|山东|济南|
250210|山东|济南|
250211|山东|济南|
250212|山东|济南|
250213|山东|济南|
250214|山东|济南|
250215|山东|济南|
250216|山东|济南|
250217|山东|济南|
250218|山东|济南|
250219|山东|济南|
250220|山东|济南|
250300|山东|济南|
250400|山东|济南|
250401|山东|济南|
250402|山东|济南|
250403|山东|济南|
250404|山东|济南|
250405|山东|济南|
250406|山东|平阴县|
250407|山东|济南|
250408|山东|济南|
250409|山东|济南|
250410|山东|济南|
250411|山东|济南|
251100|山东|德州|
251101|山东|齐河县|
251102|山东|德州|
251103|山东|德州|
251104|山东|德州|
251105|山东|德州|
251106|山东|德州|
251107|山东|德州|
251108|山东|德州|
251109|山东|德州|
251110|山东|德州|
251111|山东|德州|
251112|山东|齐河县|
251113|山东|德州|
251114|山东|德州|
251115|山东|德州|
251116|山东|德州|
251117|山东|德州|
251118|山东|齐河县|
251120|山东|德州|
251121|山东|德州|
251122|山东|齐河县|
251123|山东|齐河县|
251124|山东|德州|
251125|山东|德州|
251177|山东|齐河县|
251200|山东|德州|
251202|山东|德州|
251203|山东|德州|
251204|山东|德州|
251205|山东|德州|
251206|山东|德州|
251207|山东|禹城|
251208|山东|德州|
251209|山东|德州|
251211|山东|德州|
251212|山东|禹城|
251213|山东|德州|
251214|山东|德州|
251215|山东|德州|
251216|山东|德州|
251217|山东|德州|
251218|山东|德州|
251219|山东|德州|
251221|山东|德州|
251400|山东|济南|
251401|山东|济南|
251402|山东|济南|
251403|山东|济南|
251404|山东|济南|
251405|山东|济南|
251406|山东|济南|
251407|山东|济南|
251408|山东|济南|
251409|山东|济南|
251411|山东|济南|
251412|山东|济南|
251413|山东|济阳县|
251414|山东|济南|
251415|山东|济南|
251500|山东|德州|
251501|山东|德州|
251502|山东|德州|
251503|山东|德州|
251504|山东|德州|
251505|山东|德州|
251506|山东|德州|
251508|山东|德州|
251509|山东|临邑县|
251510|山东|德州|
251511|山东|德州|
251512|山东|德州|
251513|山东|德州|
251514|山东|德州|
251515|山东|德州|
251516|山东|德州|
251517|山东|德州|
251518|山东|德州|
251519|山东|德州|
251520|山东|德州|
251600|山东|济南|
251601|山东|济南|
251602|山东|济南|
251603|山东|济南|
251604|山东|济南|
251605|山东|济南|
251606|山东|济南|
251607|山东|济南|
251608|山东|济南|
251609|山东|济南|
251610|山东|商河县|
251611|山东|济南|
251612|山东|商河县|
251613|山东|济南|
251614|山东|济南|
251615|山东|济南|
251616|山东|济南|
251617|山东|济南|
251618|山东|济南|
251619|山东|济南|
251620|山东|济南|
251621|山东|济南|
251700|山东|滨州|
251701|山东|滨州|
251702|山东|滨州|
251703|山东|惠民县|
251704|山东|滨州|
251705|山东|滨州|
251706|山东|滨州|
251707|山东|滨州|
251708|山东|滨州|
251709|山东|滨州|
251710|山东|滨州|
251711|山东|滨州|
251712|山东|滨州|
251713|山东|滨州|
251714|山东|滨州|
251715|山东|滨州|
251716|山东|滨州|
251717|山东|滨州|
251718|山东|滨州|
251719|山东|滨州|
251720|山东|滨州|
251800|山东|滨州|
251802|山东|滨州|
251803|山东|滨州|
251804|山东|滨州|
251805|山东|滨州|
251806|山东|滨州|
251807|山东|滨州|
251808|山东|滨州|
251809|山东|滨州|
251810|山东|滨州|
251811|山东|滨州|
251812|山东|滨州|
251813|山东|滨州|
251900|山东|滨州|
251901|山东|滨州|
251902|山东|滨州|
251903|山东|滨州|
251904|山东|滨州|
251905|山东|滨州|
251906|山东|滨州|
251907|山东|滨州|
251908|山东|滨州|
251909|山东|滨州|
251910|山东|滨州|
251911|山东|滨州|
251912|山东|滨州|
251913|山东|滨州|
252000|山东|聊城|
252021|山东|聊城|
252022|山东|聊城|
252023|山东|聊城|
252024|山东|聊城|
252025|山东|聊城|
252026|山东|聊城|
252027|山东|聊城|
252028|山东|聊城|
252029|山东|聊城|
252031|山东|聊城|
252032|山东|聊城|
252033|山东|聊城|
252034|山东|聊城|
252035|山东|聊城|
252036|山东|聊城|
252037|山东|聊城|
252038|山东|聊城|
252039|山东|聊城|
252040|山东|聊城|
252051|山东|聊城|
252052|山东|聊城|
252053|山东|聊城|
252054|山东|聊城|
252055|山东|聊城|
252056|山东|聊城|
252057|山东|聊城|
252058|山东|聊城|
252061|山东|聊城|
252062|山东|聊城|
252100|山东|聊城|
252111|山东|聊城|
252112|山东|聊城|
252113|山东|聊城|
252114|山东|聊城|
252115|山东|聊城|
252116|山东|聊城|
252117|山东|聊城|
252118|山东|聊城|
252121|山东|聊城|
252122|山东|聊城|
252123|山东|聊城|
252124|山东|聊城|
252125|山东|聊城|
252126|山东|聊城|
252127|山东|聊城|
252128|山东|聊城|
252129|山东|茌平县|
252200|山东|聊城|
252211|山东|聊城|
252212|山东|聊城|
252213|山东|聊城|
252214|山东|聊城|
252215|山东|聊城|
252216|山东|聊城|
252217|山东|聊城|
252218|山东|聊城|
252219|山东|聊城|
252221|山东|聊城|
252223|山东|聊城|
252224|山东|聊城|
252225|山东|聊城|
252300|山东|聊城|
252311|山东|聊城|
252312|山东|聊城|
252313|山东|聊城|
252314|山东|聊城|
252315|山东|聊城|
252316|山东|聊城|
252317|山东|阳谷县|
252318|山东|聊城|
252319|山东|聊城|
252321|山东|聊城|
252322|山东|聊城|
252323|山东|聊城|
252324|山东|聊城|
252325|山东|聊城|
252326|山东|聊城|
252327|山东|聊城|
252328|山东|聊城|
252329|山东|聊城|
252400|山东|聊城|
252411|山东|聊城|
252412|山东|聊城|
252413|山东|聊城|
252414|山东|聊城|
252415|山东|聊城|
252416|山东|聊城|
252417|山东|聊城|
252418|山东|聊城|
252419|山东|聊城|
252421|山东|聊城|
252422|山东|聊城|
252423|山东|聊城|
252424|山东|聊城|
252425|山东|聊城|
252426|山东|聊城|
252427|山东|聊城|
252428|山东|聊城|
252429|山东|聊城|
252431|山东|聊城|
252432|山东|聊城|
252500|山东|聊城|
252511|山东|聊城|
252512|山东|聊城|
252513|山东|聊城|
252514|山东|聊城|
252515|山东|聊城|
252516|山东|聊城|
252517|山东|聊城|
252518|山东|聊城|
252519|山东|聊城|
252521|山东|聊城|
252522|山东|聊城|
252523|山东|聊城|
252524|山东|聊城|
252525|山东|聊城|
252526|山东|聊城|
252527|山东|聊城|
252528|山东|冠县|
252600|山东|聊城|
252651|山东|聊城|
252652|山东|聊城|
252653|山东|聊城|
252654|山东|聊城|
252655|山东|聊城|
252656|山东|聊城|
252657|山东|聊城|
252658|山东|聊城|
252659|山东|聊城|
252660|山东|聊城|
252661|山东|聊城|
252662|山东|聊城|
252663|山东|聊城|
252664|山东|聊城|
252665|山东|聊城|
252666|山东|聊城|
252667|山东|聊城|
252668|山东|聊城|
252669|山东|临清|
252800|山东|聊城|
252801|山东|高唐县|
252802|山东|高唐县|
252803|山东|高唐县|
252804|山东|高唐县|
252805|山东|高唐县|
252806|山东|高唐县|
252807|山东|高唐县|
252808|山东|高唐县|
252809|山东|高唐县|
252810|山东|高唐县|
253000|山东|德州|
253001|山东|德州|
253002|山东|德州|
253003|山东|德州|
253004|山东|德州|
253005|山东|德州|
253006|山东|德州|
253007|山东|德州|
253008|山东|德州|
253009|山东|德州|
253010|山东|德州|
253011|山东|德州|
253012|山东|德州|
253013|山东|德州|
253014|山东|德州|
253015|山东|德州|
253016|山东|德州|
253017|山东|德州|
253018|山东|德州|
253019|山东|德州|
253020|山东|德州|
253022|山东|德州|
253023|山东|德州|
253024|山东|德州|
253032|山东|德州|
253033|山东|德州|
253034|山东|德州|
253035|山东|德州|
253100|山东|德州|
253101|山东|德州|
253102|山东|德州|
253103|山东|德州|
253104|山东|德州|
253105|山东|德州|
253106|山东|平原县|
253107|山东|德州|
253108|山东|德州|
253109|山东|德州|
253111|山东|德州|
253112|山东|德州|
253113|山东|德州|
253114|山东|德州|
253115|山东|德州|
253116|山东|德州|
253117|山东|德州|
253118|山东|德州|
253119|山东|德州|
253121|山东|平原县|
253122|山东|平原县|
253123|山东|平原县|
253124|山东|平原县|
253125|山东|平原县|
253200|山东|德州|
253203|山东|德州|
253204|山东|德州|
253206|山东|德州|
253207|山东|德州|
253211|山东|德州|
253212|山东|德州|
253213|山东|德州|
253214|山东|德州|
253216|山东|德州|
253217|山东|德州|
253219|山东|德州|
253221|山东|德州|
253300|山东|德州|
253302|山东|武城县|
253303|山东|德州|
253304|山东|德州|
253305|山东|武城县|
253306|山东|德州|
253307|山东|德州|
253308|山东|德州|
253309|山东|德州|
253310|山东|德州|
253311|山东|德州|
253312|山东|德州|
253313|山东|德州|
253314|山东|德州|
253315|山东|德州|
253400|山东|德州|
253405|山东|德州|
253408|山东|德州|
253409|山东|德州|
253411|山东|德州|
253412|山东|德州|
253413|山东|德州|
253416|山东|德州|
253417|山东|德州|
253418|山东|德州|
253419|山东|德州|
253421|山东|德州|
253422|山东|德州|
253423|山东|德州|
253424|山东|德州|
253500|山东|德州|
253501|山东|德州|
253502|山东|德州|
253503|山东|陵县|
253504|山东|陵县|
253505|山东|德州|
253506|山东|德州|
253507|山东|德州|
253508|山东|德州|
253509|山东|德州|
253510|山东|德州|
253511|山东|德州|
253512|山东|德州|
253513|山东|德州|
253514|山东|德州|
253515|山东|德州|
253516|山东|德州|
253517|山东|德州|
253518|山东|德州|
253519|山东|陵县|
253520|山东|德州|
253521|山东|德州|
253522|山东|陵县|
253523|山东|德州|
253540|山东|陵县|
253600|山东|德州|
253601|山东|德州|
253602|山东|德州|
253603|山东|德州|
253604|山东|德州|
253605|山东|德州|
253606|山东|德州|
253607|山东|德州|
253608|山东|德州|
253610|山东|德州|
253611|山东|德州|
253612|山东|德州|
253614|山东|德州|
253615|山东|德州|
253618|山东|德州|
253619|山东|德州|
253621|山东|德州|
253622|山东|德州|
253700|山东|德州|
253702|山东|庆云县|
253703|山东|德州|
253704|山东|庆云县|
253705|山东|德州|
253706|山东|德州|
253707|山东|德州|
253708|山东|德州|
253709|山东|德州|
253711|山东|德州|
253712|山东|德州|
253713|山东|德州|
253714|山东|德州|
253715|山东|庆云县|
253716|山东|庆云县|
253717|山东|庆云县|
253800|河北|衡水|
253802|河北|衡水|
253803|河北|衡水|
253804|河北|衡水|
253805|河北|衡水|
253806|河北|衡水|
253807|河北|衡水|
253808|河北|衡水|
253809|河北|衡水|
253811|河北|衡水|
253812|河北|故城县|
253813|河北|故城县|
253814|河北|故城县|
255000|山东|淄博|
255021|山东|淄博|
255022|山东|淄博|
255023|山东|淄博|
255024|山东|淄博|
255025|山东|淄博|
255026|山东|淄博|
255027|山东|淄博|
255028|山东|淄博|
255029|山东|淄博|
255030|山东|淄博|
255032|山东|淄博|
255033|山东|淄博|
255034|山东|淄博|
255035|山东|淄博|
255036|山东|淄博|
255037|山东|淄博|
255038|山东|淄博|
255039|山东|淄博|
255051|山东|淄博|
255053|山东|淄博|
255061|山东|淄博|
255062|山东|淄博|
255063|山东|淄博|
255064|山东|淄博|
255067|山东|淄博|
255068|山东|淄博|
255071|山东|淄博|
255075|山东|淄博|
255080|山东|淄博|
255084|山东|淄博|
255086|山东|淄博|
255087|山东|淄博|
255088|山东|淄博|
255090|山东|淄博|
255095|山东|淄博|
255100|山东|淄博|
255120|山东|淄博|
255129|山东|淄博|
255138|山东|淄博|
255141|山东|淄川区|
255144|山东|淄博|
255150|山东|淄博|
255154|山东|淄博|
255161|山东|淄博|
255169|山东|淄博|
255171|山东|淄博|
255174|山东|淄博|
255176|山东|淄博|
255178|山东|淄博|
255181|山东|淄博|
255185|山东|淄博|
255188|山东|淄博|
255192|山东|淄博|
255200|山东|淄博|
255201|山东|淄博|
255202|山东|淄博|
255203|山东|淄博|
255204|山东|淄博|
255205|山东|淄博|
255206|山东|淄博|
255207|山东|淄博|
255208|山东|淄博|
255209|山东|淄博|
255210|山东|淄博|
255211|山东|淄博|
255300|山东|淄博|
255302|山东|淄博|
255304|山东|淄博|
255314|山东|淄博|
255316|山东|周村区|
255318|山东|淄博|
255319|山东|周村区|
255321|山东|淄博|
255331|山东|周村区|
255332|山东|周村区|
255333|山东|周村区|
255334|山东|周村区|
255335|山东|周村区|
255336|山东|周村区|
255337|山东|周村区|
255338|山东|周村区|
255339|山东|周村区|
255340|山东|周村区|
255400|山东|淄博|
255410|山东|淄博|
255414|山东|淄博|
255416|山东|淄博|
255418|山东|淄博|
255420|山东|淄博|
255422|山东|淄博|
255424|山东|淄博|
255430|山东|淄博|
255432|山东|淄博|
255438|山东|淄博|
255440|山东|淄博|
255508|江苏|姜堰|
256100|山东|淄博|
256101|山东|淄博|
256102|山东|淄博|
256103|山东|淄博|
256104|山东|淄博|
256106|山东|沂源县|
256108|山东|淄博|
256109|山东|淄博|
256110|山东|淄博|
256111|山东|淄博|
256112|山东|淄博|
256113|山东|淄博|
256114|山东|淄博|
256115|山东|淄博|
256116|山东|淄博|
256117|山东|淄博|
256200|山东|滨州|
256205|山东|滨州|
256206|山东|滨州|
256207|山东|滨州|
256208|山东|滨州|
256209|山东|滨州|
256210|山东|滨州|
256211|山东|滨州|
256212|山东|滨州|
256213|山东|滨州|
256214|山东|滨州|
256215|山东|滨州|
256216|山东|滨州|
256217|山东|滨州|
256218|山东|滨州|
256219|山东|滨州|
256220|山东|滨州|
256221|山东|邹平县|
256300|山东|淄博|
256301|山东|淄博|
256302|山东|淄博|
256303|山东|淄博|
256304|山东|淄博|
256305|山东|淄博|
256306|山东|淄博|
256400|山东|淄博|
256401|山东|淄博|
256402|山东|淄博|
256403|山东|淄博|
256404|山东|淄博|
256405|山东|淄博|
256406|山东|淄博|
256407|山东|淄博|
256408|山东|淄博|
256409|山东|淄博|
256410|山东|淄博|
256411|山东|淄博|
256500|山东|滨州|
256501|山东|滨州|
256502|山东|滨州|
256503|山东|滨州|
256505|山东|滨州|
256506|山东|滨州|
256507|山东|滨州|
256508|山东|滨州|
256509|山东|滨州|
256510|山东|滨州|
256511|山东|滨州|
256512|山东|滨州|
256600|山东|滨州|
256611|山东|滨州|
256612|山东|滨州|
256613|山东|滨州|
256614|山东|滨州|
256615|山东|滨州|
256616|山东|滨州|
256617|山东|滨州|
256618|山东|滨州|
256621|山东|滨州|
256623|山东|滨州|
256631|山东|滨州|
256651|山东|滨州|
256652|山东|滨州|
256653|山东|滨州|
256654|山东|滨州|
256655|山东|滨州|
256656|山东|滨州|
256657|山东|滨州|
256658|山东|滨州|
256659|山东|滨州|
256800|山东|滨州|
256801|山东|滨州|
256802|山东|滨州|
256803|山东|滨州|
256804|山东|滨州|
256805|山东|滨州|
256806|山东|滨州|
256807|山东|滨州|
256808|山东|滨州|
256809|山东|滨州|
256810|山东|滨州|
256811|山东|滨州|
256812|山东|滨州|
256813|山东|滨州|
256815|山东|滨州|
257000|山东|东营|
257014|山东|东营|
257017|山东|东营|
257024|山东|东营|
257027|山东|东营|
257031|山东|东营|
257037|山东|东营|
257054|山东|东营|
257061|山东|东营|
257085|山东|东营|
257098|山东|东营|
257200|山东|东营|
257231|山东|东营|
257234|山东|东营|
257300|山东|东营|
257331|山东|广饶县|
257332|山东|东营|
257333|山东|东营|
257334|山东|东营|
257335|山东|东营|
257336|山东|东营|
257337|山东|东营|
257338|山东|东营|
257339|山东|广饶县|
257341|山东|东营|
257342|山东|东营|
257343|山东|东营|
257344|山东|东营|
257345|山东|东营|
257400|山东|东营|
257438|山东|东营|
257439|山东|东营|
257440|山东|东营|
257441|山东|利津县|
257442|山东|东营|
257443|山东|东营|
257444|山东|利津县|
257445|山东|东营|
257446|山东|东营|
257447|山东|东营|
257448|山东|东营|
257449|山东|东营|
257450|山东|东营|
257451|山东|东营|
257452|山东|东营|
257453|山东|东营|
257500|山东|东营|
257501|山东|垦利县|
257502|山东|东营|
257503|山东|东营|
257504|山东|东营|
257505|山东|东营|
257506|山东|东营|
257507|山东|垦利县|
257508|山东|东营|
257509|山东|东营|
257511|山东|垦利县|
257512|山东|东营|
260012|山东|青岛|其它
260022|山东|青岛|其它
261000|山东|潍坊|
261011|山东|潍坊|
261021|山东|潍坊|
261031|山东|潍坊|
261041|山东|潍坊|
261051|山东|潍坊|
261052|山东|潍坊|
261053|山东|潍坊|
261054|山东|潍坊|
261055|山东|潍坊|
261056|山东|潍坊|
261057|山东|潍坊|
261100|山东|潍坊|
261101|山东|潍坊|
261102|山东|潍坊|
261103|山东|潍坊|
261104|山东|潍坊|
261105|山东|潍坊|
261106|山东|潍坊|
261107|山东|潍坊|
261108|山东|潍坊|
261111|山东|潍坊|
261112|山东|潍坊|
261113|山东|寒亭区|
261200|山东|潍坊|
261201|山东|潍坊|
261202|山东|潍坊|
261203|山东|潍坊|
261204|山东|潍坊|
261205|山东|潍坊|
261206|山东|潍坊|
261207|山东|潍坊|
261208|山东|潍坊|
261300|山东|潍坊|
261301|山东|潍坊|
261302|山东|潍坊|
261303|山东|潍坊|
261304|山东|潍坊|
261306|山东|潍坊|
261307|山东|潍坊|
261308|山东|潍坊|
261309|山东|潍坊|
261311|山东|潍坊|
261312|山东|潍坊|
261313|山东|潍坊|
261314|山东|潍坊|
261315|山东|潍坊|
261316|山东|潍坊|
261317|山东|潍坊|
261318|山东|潍坊|
261319|山东|潍坊|
261321|山东|潍坊|
261322|山东|潍坊|
261325|山东|潍坊|
261326|山东|潍坊|
261400|山东|烟台|
261411|山东|烟台|
261412|山东|烟台|
261413|山东|烟台|
261414|山东|烟台|
261415|山东|烟台|
261416|山东|烟台|
261417|山东|烟台|
261418|山东|烟台|
261419|山东|烟台|
261421|山东|烟台|
261422|山东|烟台|
261423|山东|烟台|
261424|山东|烟台|
261425|山东|烟台|
261426|山东|烟台|
261427|山东|烟台|
261428|山东|烟台|
261429|山东|烟台|
261431|山东|烟台|
261432|山东|烟台|
261433|山东|烟台|
261434|山东|烟台|
261435|山东|烟台|
261436|山东|烟台|
261437|山东|烟台|
261439|山东|烟台|
261441|山东|烟台|
261500|山东|潍坊|
261501|山东|潍坊|
261502|山东|潍坊|
261503|山东|潍坊|
261504|山东|潍坊|
261505|山东|潍坊|
261506|山东|潍坊|
261507|山东|潍坊|
261508|山东|潍坊|
261509|山东|潍坊|
261511|山东|潍坊|
261512|山东|潍坊|
261513|山东|潍坊|
261514|山东|潍坊|
261515|山东|潍坊|
261516|山东|潍坊|
261517|山东|潍坊|
261518|山东|潍坊|
261519|山东|潍坊|
261521|山东|潍坊|
261522|山东|潍坊|
261523|山东|潍坊|
261524|山东|高密|
261525|山东|高密|
261526|山东|潍坊|
261527|山东|潍坊|
261528|山东|潍坊|
261531|山东|潍坊|
261532|山东|潍坊|
262100|山东|潍坊|
262102|山东|潍坊|
262103|山东|潍坊|
262104|山东|潍坊|
262105|山东|潍坊|
262106|山东|潍坊|
262107|山东|潍坊|
262108|山东|潍坊|
262109|山东|潍坊|
262111|山东|潍坊|
262112|山东|潍坊|
262113|山东|潍坊|
262114|山东|潍坊|
262115|山东|潍坊|
262116|山东|潍坊|
262117|山东|潍坊|
262118|山东|潍坊|
262119|山东|潍坊|
262121|山东|潍坊|
262122|山东|潍坊|
262123|山东|潍坊|
262124|山东|潍坊|
262125|山东|潍坊|
262126|山东|潍坊|
262127|山东|潍坊|
262128|山东|潍坊|
262200|山东|潍坊|
262201|山东|潍坊|
262202|山东|潍坊|
262203|山东|潍坊|
262204|山东|潍坊|
262205|山东|潍坊|
262206|山东|诸城|
262207|山东|潍坊|
262208|山东|潍坊|
262210|山东|潍坊|
262211|山东|诸城|
262212|山东|潍坊|
262213|山东|潍坊|
262214|山东|潍坊|
262215|山东|诸城|
262216|山东|潍坊|
262217|山东|潍坊|
262218|山东|潍坊|
262219|山东|诸城|
262220|山东|诸城|
262221|山东|诸城|
262222|山东|潍坊|
262223|山东|潍坊|
262224|山东|诸城|
262225|山东|诸城|
262226|山东|潍坊|
262227|山东|潍坊|
262228|山东|诸城|
262229|山东|潍坊|
262230|山东|诸城|
262231|山东|诸城|
262232|山东|潍坊|
262233|山东|潍坊|
262234|山东|潍坊|
262300|山东|日照|
262301|山东|日照|
262302|山东|日照|
262303|山东|日照|
262304|山东|五莲县|
262305|山东|日照|
262306|山东|日照|
262307|山东|日照|
262308|山东|日照|
262309|山东|日照|
